96,Kingsley Coman,2023-2024,27,fr FRA,Bayern Munich,de Bundesliga,17,1113,12.4,15,2,1,3,3,6,3,0,0,0,FW,042e8a49
97,Bambasé Conté,2023-2024,20,de GER,Hoffenheim,de Bundesliga,7,48,0.5,0,7,5,0,0,0,0,0,0,0,MFFW,33b38f49
98,Danny da Costa,2023-2024,30,de GER,Mainz 05,de Bundesliga,19,830,9.2,9,10,10,0,1,1,0,0,0,0,DF,5ddb8f9f
99,Nicolas Cozza,2023-2024,24,fr FRA,Wolfsburg,de Bundesliga,6,276,3.1,3,3,8,0,0,0,0,0,0,0,DF,8f325097
100,Tomáš Čvančara,2023-2024,22,cz CZE,Gladbach,de Bundesliga,21,896,10.0,7,14,0,4,1,5,3,1,2,1,FW,298c8aa1
101,Finn Dahmen,2023-2024,25,de GER,Augsburg,de Bundesliga,31,2790,31.0,31,0,0,0,0,0,0,0,0,0,GK,dee3013b
102,Mahmoud Dahoud,2023-2024,27,de GER,Stuttgart,de Bundesliga,13,227,2.5,1,12,2,1,0,1,1,0,0,0,MF,db4ed67b
103,Maxim Dal,2023-2024,17,de GER,Mainz 05,de Bundesliga,0,,,0,0,2,,,,,,,,DF,b185af84
104,Lukas Daschner,2023-2024,24,de GER,Bochum,de Bundesliga,20,536,6.0,3,17,13,1,1,2,1,0,0,0,MFFW,93a8c4f9
105,David Datro Fofana,2023-2024,20,ci CIV,Union Berlin,de Bundesliga,12,682,7.6,8,4,0,1,0,1,1,0,0,0,FWMF,e82900ef
106,Alphonso Davies,2023-2024,22,ca CAN,Bayern Munich,de Bundesliga,29,2065,22.9,24,5,2,2,5,7,2,0,0,0,DF,d781d855
107,David Deger,2023-2024,23,de GER,Augsburg,de Bundesliga,0,,,0,0,1,,,,,,,,MF,9de65094
108,Olivier Deman,2023-2024,23,be BEL,Werder Bremen,de Bundesliga,29,1365,15.2,14,15,1,2,1,3,2,0,0,0,DF,13210854
109,Ermedin Demirović,2023-2024,25,ba BIH,Augsburg,de Bundesliga,33,2873,31.9,33,0,0,15,9,24,12,3,4,1,FWMF,ed79b7d3
110,Sepp van den Berg,2023-2024,21,nl NED,Mainz 05,de Bundesliga,33,2839,31.5,31,2,0,3,0,3,3,0,0,0,DF,7bf9400b
111,Samuele Di Benedetto,2023-2024,18,de GER,Stuttgart,de Bundesliga,1,7,0.1,0,1,2,0,0,0,0,0,0,0,MF,7c254c75
