Name,Market Value
Timo Hübers,€5.50m
Luca Kilian,€2.00m
Dominique Heintz,€800k
Elias Bakatukanda,€250k
Max Finkgräfe,€6.00m
Leart Paçarada,€1.50m
Kristian Pedersen,€800k
Noah Katterbach,€600k
Jan Thielmann,€5.00m
Rasmus Carstensen,€2.00m
Benno Schmitz,€1.50m
Eric Martel,€7.50m
Dejan Ljubicic,€5.00m
Jacob Christensen,€1.50m
Denis Huseinbasic,€4.00m
Mathias Olesen,€1.50m
Florian Kainz,€2.50m
Linton Maina,€3.00m
Faride Alidou,€2.50m
Justin Diehl,€2.50m
Dimitrios Limnios,€900k
Davie Selke,€2.80m
Luca Waldschmidt,€2.50m
Damion Downs,€2.00m
Steffen Tigges,€1.50m
Mark Uth,€1.00m
Sargis Adamyan,€600k
Florian Dietz,€600k
Marcel Schuhen,€800k
Alexander Brunst,€400k
Morten Behrens,€250k
Max Wendt,-
Christoph Klarer,€3.00m
Matej Maglica,€2.00m
Clemens Riedel,€2.00m
Christoph Zimmermann,€1.00m
Jannik Müller,€800k
Thomas Isherwood,€500k
Emir Karic,€1.00m
Fabian Holland,€500k
Matthias Bader,€1.80m
Frank Ronstadt,€550k
Bartol Franjic,€1.80m
Andreas Müller,€800k
Klaus Gjasula,€400k
Fabian Schnellhardt,€1.00m
Tobias Kempe,€500k
Fabian Nürnberger,€2.50m
Marvin Mehlem,€2.50m
Julian Justvan,€1.50m
Mathias Honsak,€1.20m
Gerrit Holtmann,€1.00m
Tim Skarke,€3.00m
Braydon Manu,€1.20m
Oscar Vilhelmsson,€2.00m
Fraser Hornby,€1.20m
Luca Pfeiffer,€1.20m
Filip Stojilkovic,€800k
Aaron Seydel,€500k
Sebastian Polter,€500k
Fabio Torsiello,€500k
Asaf Arania,-
