
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
75,Sander Berge,2023-2024,25,no NOR,Burnley,eng Premier League,37,3005,33.4,34,3,0,1,2,3,1,0,0,0,MF,d0b6129f
76,Lucas Bergström,2023-2024,20,fi FIN,Chelsea,eng Premier League,0,,,0,0,15,,,,,,,,GK,b59c2a92
77,Luke Berry,2023-2024,31,eng ENG,Luton Town,eng Premier League,17,323,3.6,2,15,16,2,1,3,2,0,0,0,MFDF,2aaadf33
78,Beto,2023-2024,25,gw GNB,Everton,eng Premier League,30,951,10.6,9,21,2,3,0,3,3,0,1,1,FW,ed5c0319
79,Marcus Bettinelli,2023-2024,31,eng ENG,Chelsea,eng Premier League,0,,0.0,0,0,17,0,0,0,0,0,0,0,GK,0d85a4e8
80,Jordan Beyer,2023-2024,23,de GER,Burnley,eng Premier League,15,1234,13.7,15,0,0,0,1,1,0,0,0,0,DF,9af1f9ff
81,Philip Billing,2023-2024,27,dk DEN,Bournemouth,eng Premier League,29,1398,15.5,13,16,4,2,2,4,2,0,0,0,MF,d328a254
82,Yves Bissouma,2023-2024,26,ml MLI,Tottenham,eng Premier League,28,2068,23.0,26,2,0,0,0,0,0,0,0,0,MF,6c203af0
83,Billy Blacker,2023-2024,17,eng ENG,Sheffield Utd,eng Premier League,0,,,0,0,1,,,,,,,,FW,2b08b6e5
84,Benicio Boaitey,2023-2024,19,eng ENG,Brighton,eng Premier League,5,40,0.4,0,5,9,0,0,0,0,0,0,0,FWDF,4c5835e6
85,Oscar Bobb,2023-2024,20,no NOR,Manchester City,eng Premier League,14,302,3.4,2,12,21,1,1,2,1,0,0,0,FWMF,eed2427e
86,Jayden Bogle,2023-2024,23,eng ENG,Sheffield Utd,eng Premier League,34,2788,31.0,32,2,1,3,0,3,3,0,0,0,DF,ae5019e6
87,Willy Boly,2023-2024,32,ci CIV,Nott'ham Forest,eng Premier League,20,1438,16.0,18,2,3,2,1,3,2,0,0,0,DF,a4ac4b8f
88,Sven Botman,2023-2024,23,nl NED,Newcastle Utd,eng Premier League,17,1377,15.3,15,2,0,2,2,4,2,0,0,0,DF,ccce7025
89,Jarrod Bowen,2023-2024,26,eng ENG,West Ham,eng Premier League,34,3019,33.5,34,0,0,16,6,22,16,0,0,0,FW,79c84d1c
90,Conor Bradley,2023-2024,20,nir NIR,Liverpool,eng Premier League,11,753,8.4,10,1,8,1,3,4,1,0,0,0,DF,bbd67769
91,Jarrad Branthwaite,2023-2024,21,eng ENG,Everton,eng Premier League,35,3116,34.6,35,0,2,3,0,3,3,0,0,0,DF,c1949191
92,Ben Brereton,2023-2024,24,cl CHI,Sheffield Utd,eng Premier League,14,1105,12.3,14,0,1,6,1,7,5,1,1,0,FWMF,57827369
93,Rhian Brewster,2023-2024,23,eng ENG,Sheffield Utd,eng Premier League,13,346,3.8,3,10,1,0,0,0,0,0,0,0,FWMF,30e81a88
94,Ethan Brierley,2023-2024,19,eng ENG,Brentford,eng Premier League,0,,,0,0,13,,,,,,,,MF,c2c5ecda
95,Armando Broja,2023-2024,21,al ALB,2 Teams,eng Premier League,21,542,6.0,6,15,5,1,1,2,1,0,0,0,FW,97220da2
96,Joshua Brooking,2023-2024,20,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,DF,330f638c
97,Andre Brooks,2023-2024,19,eng ENG,Sheffield Utd,eng Premier League,20,938,10.4,12,8,11,0,0,0,0,0,0,0,MFDF,5f346071
98,David Brooks,2023-2024,26,wls WAL,Bournemouth,eng Premier League,13,282,3.1,2,11,7,1,1,2,1,0,0,0,FWMF,dc4cae05
99,Jacob Brown,2023-2024,25,sct SCO,Luton Town,eng Premier League,19,1019,11.3,12,7,2,2,0,2,2,0,0,0,MFFW,ca18c8f1
100,Josh Brownhill,2023-2024,27,eng ENG,Burnley,eng Premier League,33,2252,25.0,23,10,4,4,2,6,4,0,0,0,MF,47369df8
101,Jacob Bruun Larsen,2023-2024,24,dk DEN,Burnley,eng Premier League,32,1249,13.9,16,16,5,6,0,6,5,1,1,0,MFFW,4e204552
102,Hugo Bueno,2023-2024,20,es ESP,Wolves,eng Premier League,22,741,8.2,7,15,11,0,0,0,0,0,0,0,DFMF,bfc3b3a0
103,Santiago Bueno,2023-2024,24,uy URU,Wolves,eng Premier League,12,822,9.1,9,3,18,0,0,0,0,0,0,0,DF,edc98fac
104,Facundo Buonanotte,2023-2024,18,ar ARG,Brighton,eng Premier League,27,1364,15.2,17,10,6,3,1,4,3,0,0,0,FWMF,468a7a91
105,Reece Burke,2023-2024,26,eng ENG,Luton Town,eng Premier League,22,1660,18.4,20,2,3,0,4,4,0,0,0,0,DF,a681b7b7
106,Dan Burn,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,33,2726,30.3,32,1,0,2,2,4,2,0,0,0,DF,b2d31e83
107,Mason Burstow,2023-2024,19,eng ENG,Chelsea,eng Premier League,2,9,0.1,0,2,1,0,0,0,0,0,0,0,FW,dab84ad2
108,Jili Buyabu,2023-2024,21,eng ENG,Sheffield Utd,eng Premier League,0,,,0,0,2,,,,,,,,MF,15ee4bc1
109,Moisés Caicedo,2023-2024,21,ec ECU,Chelsea,eng Premier League,35,2866,31.8,33,2,0,1,3,4,1,0,0,0,MF,16264a81
110,Tom Cairney,2023-2024,32,sct SCO,Fulham,eng Premier League,34,1488,16.5,14,20,4,1,4,5,1,0,0,0,MF,a8748947
111,Dominic Calvert-Lewin,2023-2024,26,eng ENG,Everton,eng Premier League,32,2171,24.1,26,6,0,7,2,9,5,2,2,0,FW,59e6e5bf
112,Allan Campbell,2023-2024,25,sct SCO,Luton Town,eng Premier League,0,,,0,0,1,,,,,,,,MF,858409be
113,Elijah Campbell,2023-2024,18,eng ENG,Everton,eng Premier League,0,,,0,0,1,,,,,,,,DF,48ba3f58
114,Thomas Cannon,2023-2024,20,ie IRL,Everton,eng Premier League,1,1,0.0,0,1,2,0,0,0,0,0,0,0,FW,4506aec5
115,Diego Carlos,2023-2024,30,br BRA,Aston Villa,eng Premier League,27,1816,20.2,20,7,5,0,0,0,0,0,0,0,DF,b4a014b1
116,Álvaro Carreras,2023-2024,20,es ESP,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,DFMF,33a68b9b
117,Scott Carson,2023-2024,37,eng ENG,Manchester City,eng Premier League,0,,,0,0,13,,,,,,,,GK,3e1550ee
118,Cesare Casadei,2023-2024,20,it ITA,Chelsea,eng Premier League,11,79,0.9,0,11,6,0,0,0,0,0,0,0,FWMF,fb920f3a
119,Casemiro,2023-2024,31,br BRA,Manchester Utd,eng Premier League,25,1982,22.0,24,1,1,1,2,3,1,0,0,0,MFDF,4d224fe8
120,Kaelan Casey,2023-2024,18,eng ENG,West Ham,eng Premier League,1,1,0.0,0,1,7,0,0,0,0,0,0,0,DF,cd4b2c5f
121,Matty Cash,2023-2024,25,pl POL,Aston Villa,eng Premier League,29,2142,23.8,23,6,2,2,2,4,2,0,0,0,DF,2389cdc2
122,Timothy Castagne,2023-2024,27,be BEL,Fulham,eng Premier League,34,2634,29.3,29,5,1,1,3,4,1,0,0,0,DF,197640fd
123,Leo Castledine,2023-2024,17,eng ENG,Chelsea,eng Premier League,0,,,0,0,4,,,,,,,,MF,1c86192d
124,Jonny Castro,2023-2024,29,es ESP,Wolves,eng Premier League,1,5,0.1,0,1,7,0,0,0,0,0,0,0,MF,e28868f3
125,Trevoh Chalobah,2023-2024,24,eng ENG,Chelsea,eng Premier League,13,952,10.6,10,3,1,1,0,1,1,0,0,0,DF,5515376c
126,Calum Chambers,2023-2024,28,eng ENG,Aston Villa,eng Premier League,5,152,1.7,1,4,26,0,1,1,0,0,0,0,MFDF,dc6f5bdd
127,Luke Chambers,2023-2024,19,eng ENG,Liverpool,eng Premier League,0,,,0,0,4,,,,,,,,DF,7d6af698
128,Ismaila Cheick Coulibaly,2023-2024,22,ml MLI,Sheffield Utd,eng Premier League,0,,,0,0,1,,,,,,,,MF,d33e3242
129,Youssef Chermiti,2023-2024,19,pt POR,Everton,eng Premier League,18,208,2.3,1,17,18,0,0,0,0,0,0,0,FW,890f108d
130,Christian Chigozie,2023-2024,16,eng ENG,Luton Town,eng Premier League,0,,,0,0,2,,,,,,,,DF,2dbd5678
131,Ben Chilwell,2023-2024,26,eng ENG,Chelsea,eng Premier League,13,756,8.4,9,4,1,0,1,1,0,0,0,0,DF,d2424d1b
132,Tawanda Chirewa,2023-2024,19,zw ZIM,Wolves,eng Premier League,8,145,1.6,1,7,15,0,0,0,0,0,0,0,MFFW,34721c11
133,Leon Chiwome,2023-2024,17,eng ENG,Wolves,eng Premier League,3,174,1.9,2,1,1,0,0,0,0,0,0,0,FW,a2852b4f
134,Tahith Chong,2023-2024,23,nl NED,Luton Town,eng Premier League,33,1982,22.0,20,13,5,4,0,4,4,0,0,0,MFFW,2696b6a9
135,Samy Chouchane,2023-2024,19,tn TUN,Brighton,eng Premier League,0,,,0,0,1,,,,,,,,MF,6c1ebbc8
136,Ryan Christie,2023-2024,28,sct SCO,Bournemouth,eng Premier League,37,2907,32.3,35,2,0,0,5,5,0,0,0,0,MF,26ce2263
137,Carney Chukwuemeka,2023-2024,19,eng ENG,Chelsea,eng Premier League,9,227,2.5,2,7,4,1,1,2,1,0,0,0,MFFW,b2f9c73e
138,Bobby Clark,2023-2024,18,eng ENG,Liverpool,eng Premier League,5,89,1.0,1,4,6,0,0,0,0,0,0,0,MF,73341ace
139,Jordan Clark,2023-2024,29,eng ENG,Luton Town,eng Premier League,23,1304,14.5,14,9,4,1,1,2,1,0,0,0,MF,7c5fa6cf
140,Nathaniel Clyne,2023-2024,32,eng ENG,Crystal Palace,eng Premier League,19,1338,14.9,14,5,18,0,0,0,0,0,0,0,DF,0442183b
141,Séamus Coleman,2023-2024,34,ie IRL,Everton,eng Premier League,12,665,7.4,7,5,6,0,0,0,0,0,0,0,DF,0420d84f
142,Nathan Collins,2023-2024,22,ie IRL,Brentford,eng Premier League,32,2652,29.5,29,3,1,1,1,2,1,0,0,0,DF,a8c19eb8
143,Toby Collyer,2023-2024,19,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,7,,,,,,,,MF,4f9091bc
144,Levi Colwill,2023-2024,20,eng ENG,Chelsea,eng Premier League,23,1797,20.0,20,3,4,1,1,2,1,0,0,0,DF,700783e7
145,Lewis Cook,2023-2024,26,eng ENG,Bournemouth,eng Premier League,33,2786,31.0,32,1,0,0,3,3,0,0,0,0,MF,2afc7272
