
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
367,Jakub Kiwior,2023-2024,23,pl POL,Arsenal,eng Premier League,20,946,10.5,11,9,18,1,3,4,1,0,0,0,DF,dc3e663e
368,Justin Kluivert,2023-2024,24,nl NED,Bournemouth,eng Premier League,32,1916,21.3,26,6,6,7,1,8,7,0,0,0,MFFW,4c3a6744
369,Luca Koleosho,2023-2024,18,it ITA,Burnley,eng Premier League,15,974,10.8,13,2,0,1,1,2,1,0,0,0,MFFW,fc076f78
370,Ibrahima Konaté,2023-2024,24,fr FRA,Liverpool,eng Premier League,22,1574,17.5,17,5,11,0,0,0,0,0,0,0,DF,5ed9b537
371,Ezri Konsa,2023-2024,25,eng ENG,Aston Villa,eng Premier League,35,3069,34.1,35,0,0,1,0,1,1,0,0,0,DF,0313a347
372,Lewis Koumas,2023-2024,17,wls WAL,Liverpool,eng Premier League,0,,,0,0,3,,,,,,,,MF,d77edba6
373,Cheikhou Kouyaté,2023-2024,33,sn SEN,Nott'ham Forest,eng Premier League,12,212,2.4,2,10,18,0,0,0,0,0,0,0,MF,8d3c902d
374,Mateo Kovačić,2023-2024,29,hr CRO,Manchester City,eng Premier League,30,1551,17.2,16,14,4,1,0,1,1,0,0,0,MF,79c0821a
375,Emil Krafth,2023-2024,28,se SWE,Newcastle Utd,eng Premier League,17,913,10.1,8,9,11,0,0,0,0,0,0,0,DF,77cf6852
376,Tim Krul,2023-2024,35,nl NED,Luton Town,eng Premier League,0,,,0,0,37,,,,,,,,GK,f23f9d20
377,Mohammed Kudus,2023-2024,22,gh GHA,West Ham,eng Premier League,33,2484,27.6,27,6,0,8,6,14,8,0,0,0,FWMF,b62878a5
378,Dejan Kulusevski,2023-2024,23,se SWE,Tottenham,eng Premier League,36,2762,30.7,31,5,0,8,3,11,8,0,0,0,FWMF,df3cda47
379,Levi Laing,2023-2024,20,eng ENG,West Ham,eng Premier League,0,,,0,0,1,,,,,,,,DF,90295964
380,Adam Lallana,2023-2024,35,eng ENG,Brighton,eng Premier League,25,850,9.4,13,12,8,0,1,1,0,0,0,0,MFFW,99813635
381,Tariq Lamptey,2023-2024,22,gh GHA,Brighton,eng Premier League,19,914,10.2,10,9,0,0,3,3,0,0,0,0,DFFW,f4e433d4
382,Aymeric Laporte,2023-2024,29,es ESP,Manchester City,eng Premier League,1,12,0.1,0,1,0,0,0,0,0,0,0,0,DF,119b9a8e
383,Yasser Larouci,2023-2024,22,dz ALG,Sheffield Utd,eng Premier League,11,531,5.9,6,5,23,0,0,0,0,0,0,0,DF,0ed063d6
384,Jamaal Lascelles,2023-2024,29,eng ENG,Newcastle Utd,eng Premier League,16,1080,12.0,13,3,10,1,0,1,1,0,0,0,DF,450ab6fc
385,Roméo Lavia,2023-2024,19,be BEL,Chelsea,eng Premier League,1,33,0.4,0,1,1,0,0,0,0,0,0,0,MF,ecad9aa5
386,Mario Lemina,2023-2024,29,ga GAB,Wolves,eng Premier League,35,2968,33.0,34,1,0,4,1,5,4,0,0,0,MF,2b471f99
387,Noha Lemina,2023-2024,18,fr FRA,Wolves,eng Premier League,0,,,0,0,5,,,,,,,,FW,28401b55
388,Clément Lenglet,2023-2024,28,fr FRA,Aston Villa,eng Premier League,14,1153,12.8,14,0,20,0,1,1,0,0,0,0,DF,4f28a6ff
389,Bernd Leno,2023-2024,31,de GER,Fulham,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,GK,2628fd2b
390,Jefferson Lerma,2023-2024,28,co COL,Crystal Palace,eng Premier League,28,2400,26.7,27,1,0,1,1,2,1,0,0,0,MFDF,9b5ce51a
391,Rico Lewis,2023-2024,18,eng ENG,Manchester City,eng Premier League,16,809,9.0,8,8,22,2,0,2,2,0,0,0,DFMF,b57e066e
392,Keane Lewis-Potter,2023-2024,22,eng ENG,Brentford,eng Premier League,30,1441,16.0,15,15,3,3,1,4,3,0,0,0,FWDF,41f08ac8
393,Myles Lewis-Skelly,2023-2024,16,eng ENG,Arsenal,eng Premier League,0,,,0,0,1,,,,,,,,MF,5dff6c28
394,Victor Lindelöf,2023-2024,29,se SWE,Manchester Utd,eng Premier League,19,1328,14.8,14,5,2,1,1,2,1,0,0,0,DF,f5deef4c
395,Valentino Livramento,2023-2024,20,eng ENG,Newcastle Utd,eng Premier League,26,1314,14.6,12,14,7,1,0,1,1,0,0,0,DF,afed6722
396,Giovani Lo Celso,2023-2024,27,ar ARG,Tottenham,eng Premier League,22,506,5.6,4,18,6,2,2,4,2,0,0,0,MF,d7553721
397,Tom Lockyer,2023-2024,28,wls WAL,Luton Town,eng Premier League,14,1169,13.0,14,0,0,1,1,2,1,0,0,0,DF,37118440
398,Andy Lonergan,2023-2024,39,ie IRL,Everton,eng Premier League,0,,,0,0,10,,,,,,,,GK,165cf989
399,Sean Longstaff,2023-2024,25,eng ENG,Newcastle Utd,eng Premier League,35,2747,30.5,30,5,0,6,2,8,6,0,0,0,MF,a2b105e0
400,Max Lowe,2023-2024,26,eng ENG,Sheffield Utd,eng Premier League,10,503,5.6,4,6,3,0,0,0,0,0,0,0,DFMF,7af88b33
401,Douglas Luiz,2023-2024,25,br BRA,Aston Villa,eng Premier League,35,2993,33.3,35,0,0,9,5,14,5,4,4,0,MF,6f7d826d
402,Jayden Luker,2023-2024,18,eng ENG,Luton Town,eng Premier League,0,,,0,0,4,,,,,,,,MF,61aed9fe
403,Saša Lukić,2023-2024,26,rs SRB,Fulham,eng Premier League,24,1122,12.5,13,11,9,1,0,1,1,0,0,0,MF,c6e8cf1f
404,Ian Maatsen,2023-2024,21,nl NED,Chelsea,eng Premier League,12,209,2.3,1,11,8,0,0,0,0,0,0,0,FWMF,cab9634e
405,Alexis Mac Allister,2023-2024,24,ar ARG,Liverpool,eng Premier League,33,2599,28.9,31,2,0,5,5,10,4,1,1,0,MF,83d074ff
406,James Maddison,2023-2024,26,eng ENG,Tottenham,eng Premier League,28,2135,23.7,26,2,0,4,9,13,4,0,0,0,MF,ee38d9c5
407,Noni Madueke,2023-2024,21,eng ENG,Chelsea,eng Premier League,23,1053,11.7,13,10,10,5,2,7,4,1,1,0,FW,bf34eebd
408,Gabriel Magalhães,2023-2024,25,br BRA,Arsenal,eng Premier League,36,3044,33.8,34,2,2,4,0,4,4,0,0,0,DF,67ac5bb8
409,Harry Maguire,2023-2024,30,eng ENG,Manchester Utd,eng Premier League,22,1653,18.4,18,4,3,2,2,4,2,0,0,0,DF,d8931174
410,Kobbie Mainoo,2023-2024,18,eng ENG,Manchester Utd,eng Premier League,24,1924,21.4,24,0,5,3,1,4,3,0,0,0,MF,c6220452
411,Orel Mangala,2023-2024,25,be BEL,Nott'ham Forest,eng Premier League,20,1563,17.4,19,1,1,1,0,1,1,0,0,0,MF,a572e291
412,Javier Manquillo,2023-2024,29,es ESP,Newcastle Utd,eng Premier League,0,,,0,0,1,,,,,,,,DF,758dd7f0
413,Benson Manuel,2023-2024,26,ao ANG,Burnley,eng Premier League,8,116,1.3,1,7,13,0,0,0,0,0,0,0,MFFW,d7f99582
414,Solly March,2023-2024,29,eng ENG,Brighton,eng Premier League,7,554,6.2,7,0,1,3,1,4,3,0,0,0,FWDF,bb5fbd2b
415,Emiliano Marcondes,2023-2024,28,dk DEN,Bournemouth,eng Premier League,0,,,0,0,1,,,,,,,,FWMF,4d960fc3
416,Louie Marsh,2023-2024,19,eng ENG,Sheffield Utd,eng Premier League,0,,,0,0,4,,,,,,,,FW,7923301c
417,Callum Marshall,2023-2024,18,nir NIR,West Ham,eng Premier League,0,,,0,0,1,,,,,,,,FW,3a27f1bf
418,Filip Marshall,2023-2024,20,eng ENG,Aston Villa,eng Premier League,0,,,0,0,10,,,,,,,,GK,a79abd8b
419,Anthony Martial,2023-2024,27,fr FRA,Manchester Utd,eng Premier League,13,448,5.0,5,8,3,1,0,1,1,0,0,0,FW,8b788c01
420,Gabriel Martinelli,2023-2024,22,br BRA,Arsenal,eng Premier League,35,2019,22.4,24,11,0,6,4,10,6,0,0,0,FW,48a5a5d6
421,Emiliano Martínez,2023-2024,30,ar ARG,Aston Villa,eng Premier League,34,3015,33.5,34,0,0,0,0,0,0,0,0,0,GK,7956236f
422,Lisandro Martínez,2023-2024,25,ar ARG,Manchester Utd,eng Premier League,11,646,7.2,8,3,0,0,1,1,0,0,0,0,DF,bac46a10
423,Dominic Martins,2023-2024,17,pt POR,Luton Town,eng Premier League,0,,,0,0,2,,,,,,,,MF,00464670
424,Han-Noah Massengo,2023-2024,22,fr FRA,Burnley,eng Premier League,3,16,0.2,0,3,5,0,0,0,0,0,0,0,MFDF,eba1e557
425,Pape Matar Sarr,2023-2024,20,sn SEN,Tottenham,eng Premier League,34,2069,23.0,27,7,0,3,3,6,3,0,0,0,MF,feb5d972
426,Jean-Philippe Mateta,2023-2024,26,fr FRA,Crystal Palace,eng Premier League,35,2282,25.4,25,10,2,16,5,21,14,2,2,0,FW,50e6dc35
427,Roshaun Mathurin,2023-2024,19,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,2,,,,,,,,FW,c036048e
428,Joël Matip,2023-2024,31,cm CMR,Liverpool,eng Premier League,10,781,8.7,9,1,4,0,0,0,0,0,0,0,DF,b217ef29
429,Alex Matos,2023-2024,18,eng ENG,Chelsea,eng Premier League,1,1,0.0,0,1,12,0,0,0,0,0,0,0,MF,ed383e43
430,Remi Matthews,2023-2024,29,eng ENG,Crystal Palace,eng Premier League,1,4,0.0,0,1,28,0,0,0,0,0,0,0,GK,27f4f772
431,Neal Maupay,2023-2024,26,fr FRA,2 Teams,eng Premier League,31,1432,15.9,14,17,3,6,3,9,6,0,0,0,FW,4bcf39f6
432,Konstantinos Mavropanos,2023-2024,25,gr GRE,West Ham,eng Premier League,19,1500,16.7,16,3,10,1,0,1,1,0,0,0,DF,00963611
433,Kevin Mbabu,2023-2024,28,ch SUI,Fulham,eng Premier League,0,,,0,0,3,,,,,,,,DFMF,493924a7
434,Bryan Mbeumo,2023-2024,23,cm CMR,Brentford,eng Premier League,25,1960,21.8,22,3,0,9,6,15,6,3,3,0,FW,6afaebf2
435,James Mcatee,2023-2024,20,eng ENG,2 Teams,eng Premier League,31,1823,20.3,20,11,4,3,3,6,2,1,1,0,MFFW,96593e89
436,John Mcatee,2023-2024,24,eng ENG,Luton Town,eng Premier League,0,,,0,0,1,,,,,,,,FWMF,5c42b6b6
437,Oliver McBurnie,2023-2024,27,sct SCO,Sheffield Utd,eng Premier League,21,1280,14.2,15,6,3,6,3,9,4,2,2,0,FW,78b8ac63
438,James McConnell,2023-2024,18,eng ENG,Liverpool,eng Premier League,3,4,0.0,0,3,15,0,0,0,0,0,0,0,MF,bf973eeb
439,Jamie McDonnell,2023-2024,19,nir NIR,Nott'ham Forest,eng Premier League,0,,,0,0,1,,,,,,,,MF,b0df78a0
440,John McGinn,2023-2024,28,sct SCO,Aston Villa,eng Premier League,35,2999,33.3,35,0,0,6,4,10,6,0,0,0,MFFW,90f91999
441,Callan Mckenna,2023-2024,16,sct SCO,Bournemouth,eng Premier League,0,,,0,0,3,,,,,,,,GK,9d316492
442,Scott McKenna,2023-2024,26,sct SCO,Nott'ham Forest,eng Premier League,5,416,4.6,5,0,1,0,0,0,0,0,0,0,DF,4e5a4cbc
443,Dwight McNeil,2023-2024,23,eng ENG,Everton,eng Premier League,35,2892,32.1,33,2,0,3,6,9,3,0,0,0,MFFW,fc15fb84
444,Scott McTominay,2023-2024,26,sct SCO,Manchester Utd,eng Premier League,32,1901,21.1,18,14,2,7,1,8,7,0,0,0,MFFW,d93c2511
445,Ben Mee,2023-2024,33,eng ENG,Brentford,eng Premier League,16,1272,14.1,15,1,2,2,0,2,2,0,0,0,DF,8df7a2fb
446,Dermot Mee,2023-2024,20,nir NIR,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,GK,caa32820
447,Hannibal Mejbri,2023-2024,20,tn TUN,Manchester Utd,eng Premier League,5,133,1.5,1,4,9,1,0,1,1,0,0,0,MFFW,ca22ccb0
448,Teden Mengi,2023-2024,21,eng ENG,Luton Town,eng Premier League,30,2469,27.4,28,2,3,1,0,1,1,0,0,0,DF,91748070
449,Chris Mepham,2023-2024,25,wls WAL,Bournemouth,eng Premier League,10,617,6.9,6,4,14,0,1,1,0,0,0,0,DF,fed96827
450,Jenson Metcalfe,2023-2024,18,eng ENG,Everton,eng Premier League,0,,,0,0,4,,,,,,,,MF,5c2595e2
451,Lewis Miley,2023-2024,17,eng ENG,Newcastle Utd,eng Premier League,17,1202,13.4,14,3,1,1,3,4,1,0,0,0,MF,2c6835e5
452,James Milner,2023-2024,37,eng ENG,Brighton,eng Premier League,15,773,8.6,11,4,2,0,2,2,0,0,0,0,DFMF,2f90f6b8
453,Tyrone Mings,2023-2024,30,eng ENG,Aston Villa,eng Premier League,1,30,0.3,1,0,0,0,0,0,0,0,0,0,DF,8397a50c
454,Tyrick Mitchell,2023-2024,23,eng ENG,Crystal Palace,eng Premier League,37,3204,35.6,37,0,0,2,3,5,2,0,0,0,DFMF,5cbd1eb0
455,Kaoru Mitoma,2023-2024,26,jp JPN,Brighton,eng Premier League,19,1486,16.5,15,4,0,3,4,7,3,0,0,0,FW,74618572
456,Aleksandar Mitrović,2023-2024,28,rs SRB,Fulham,eng Premier League,1,33,0.4,0,1,0,0,0,0,0,0,0,0,FW,3925dbd6
457,Jakub Moder,2023-2024,24,pl POL,Brighton,eng Premier League,17,618,6.9,6,11,10,0,0,0,0,0,0,0,MFDF,f230bc30
458,Gonzalo Montiel,2023-2024,26,ar ARG,Nott'ham Forest,eng Premier League,14,801,8.9,8,6,10,0,2,2,0,0,0,0,DF,374d5158
459,Kieffer Moore,2023-2024,30,wls WAL,Bournemouth,eng Premier League,8,108,1.2,0,8,8,1,0,1,1,0,0,0,FWMF,01ce9e70
460,Mikey Moore,2023-2024,15,eng ENG,Tottenham,eng Premier League,2,4,0.0,0,2,3,0,0,0,0,0,0,0,MF,00953a9d
461,Diego Moreira,2023-2024,18,pt POR,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,MF,12de1b0d
462,Álex Moreno,2023-2024,30,es ESP,Aston Villa,eng Premier League,21,1031,11.5,11,10,4,2,0,2,2,0,0,0,DF,16e9d0ea
463,Carlton Morris,2023-2024,27,eng ENG,Luton Town,eng Premier League,38,2862,31.8,32,6,0,11,4,15,6,5,5,0,FWMF,2da834f1
464,Yerson Mosquera,2023-2024,22,co COL,Wolves,eng Premier League,0,,,0,0,1,,,,,,,,DF,1e159d70
465,Mason Mount,2023-2024,24,eng ENG,Manchester Utd,eng Premier League,14,516,5.7,5,9,0,1,0,1,1,0,0,0,MFFW,9674002f
466,Fabian Mrozek,2023-2024,19,pl POL,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,GK,927eecf9
467,Divin Mubama,2023-2024,18,eng ENG,West Ham,eng Premier League,5,80,0.9,0,5,26,0,0,0,0,0,0,0,FW,92868cb5
468,Mykhailo Mudryk,2023-2024,22,ua UKR,Chelsea,eng Premier League,31,1576,17.5,18,13,4,5,2,7,5,0,0,0,FW,049a888d
469,Rodrigo Muniz,2023-2024,22,br BRA,Fulham,eng Premier League,26,1593,17.7,18,8,7,9,1,10,9,0,0,0,FW,a755db8c
470,Daniel Muñoz,2023-2024,27,co COL,Crystal Palace,eng Premier League,16,1439,16.0,16,0,0,0,4,4,0,0,0,0,DFMF,778ef829
471,Finley Munroe,2023-2024,18,eng ENG,Aston Villa,eng Premier League,1,4,0.0,0,1,2,0,0,0,0,0,0,0,MF,36625c27
472,Arijanet Muric,2023-2024,24,xk KVX,Burnley,eng Premier League,10,900,10.0,10,0,25,0,0,0,0,0,0,0,GK,99aa1a84
473,Murillo,2023-2024,21,br BRA,Nott'ham Forest,eng Premier League,32,2789,31.0,32,0,0,0,2,2,0,0,0,0,DF,1704b0b8
474,Alex Murphy,2023-2024,19,ie IRL,Newcastle Utd,eng Premier League,2,13,0.1,0,2,17,0,0,0,0,0,0,0,DFFW,f1c42eb3
475,Jacob Murphy,2023-2024,28,eng ENG,Newcastle Utd,eng Premier League,21,1189,13.2,14,7,5,3,7,10,3,0,0,0,FWDF,de112b84
476,Vitaliy Mykolenko,2023-2024,24,ua UKR,Everton,eng Premier League,28,2469,27.4,28,0,4,2,0,2,2,0,0,0,DF,30d4a2e5
477,Marvelous Nakamba,2023-2024,29,zw ZIM,Luton Town,eng Premier League,13,1130,12.6,13,0,0,0,0,0,0,0,0,0,MF,de5b5570
478,Amara Nallo,2023-2024,16,eng ENG,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,DF,398a24f6
479,Michael Ndiweni,2023-2024,19,eng ENG,Newcastle Utd,eng Premier League,1,1,0.0,0,1,0,0,0,0,0,0,0,0,FW,8aff2b51
480,Reiss Nelson,2023-2024,23,eng ENG,Arsenal,eng Premier League,15,268,3.0,1,14,15,0,0,0,0,0,0,0,FW,c5bdb6e3
481,Zack Nelson,2023-2024,18,eng ENG,Luton Town,eng Premier League,2,7,0.1,0,2,14,0,0,0,0,0,0,0,MFDF,de0abf23
482,Neto,2023-2024,34,br BRA,Bournemouth,eng Premier League,32,2880,32.0,32,0,4,0,0,0,0,0,0,0,GK,a9dc785c
483,Pedro Neto,2023-2024,23,pt POR,Wolves,eng Premier League,20,1516,16.8,18,2,1,2,9,11,2,0,0,0,FWMF,7ba2eaa9
484,Moussa Niakhate,2023-2024,27,sn SEN,Nott'ham Forest,eng Premier League,21,1460,16.2,15,6,12,1,0,1,1,0,0,0,DF,00242715
485,Eddie Nketiah,2023-2024,24,eng ENG,Arsenal,eng Premier League,27,1082,12.0,10,17,11,5,2,7,5,0,0,0,FW,a53649b7
486,Christopher Nkunku,2023-2024,25,fr FRA,Chelsea,eng Premier League,11,443,4.9,2,9,1,3,0,3,3,0,0,0,FWMF,7c56da38
487,Rhys Norrington-Davies,2023-2024,24,wls WAL,Sheffield Utd,eng Premier League,5,110,1.2,2,3,1,0,0,0,0,0,0,0,DF,ca76b087
488,Oliver Norwood,2023-2024,32,nir NIR,Sheffield Utd,eng Premier League,27,1440,16.0,16,11,9,1,0,1,0,1,1,0,MF,43439614
489,Christian Nørgaard,2023-2024,29,dk DEN,Brentford,eng Premier League,31,2505,27.8,30,1,0,2,1,3,2,0,0,0,MF,df0a4c90
490,Matheus Nunes,2023-2024,24,pt POR,2 Teams,eng Premier League,19,840,9.3,9,10,16,0,2,2,0,0,0,0,MF,e6af02e0
491,Darwin Núñez,2023-2024,24,uy URU,Liverpool,eng Premier League,36,2047,22.7,22,14,1,11,8,19,11,0,1,1,FW,4d77b365
492,Ethan Nwaneri,2023-2024,16,eng ENG,Arsenal,eng Premier League,1,14,0.2,0,1,1,0,0,0,0,0,0,0,FW,7f94982c
493,Trey Nyoni,2023-2024,16,eng ENG,Liverpool,eng Premier League,0,,,0,0,2,,,,,,,,MF,1d3b3d77
494,Lewis O'Brien,2023-2024,24,eng ENG,Nott'ham Forest,eng Premier League,0,,,0,0,1,,,,,,,,MF,089667a5
495,Mark O'Mahony,2023-2024,18,ie IRL,Brighton,eng Premier League,3,63,0.7,1,2,8,0,0,0,0,0,0,0,FW,a3afdd69
496,Tommi O'Reilly,2023-2024,19,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,MF,345fc437
497,Dara O'Shea,2023-2024,24,ie IRL,Burnley,eng Premier League,33,2892,32.1,32,1,1,3,4,7,3,0,0,0,DF,1d042188
498,Michael Obafemi,2023-2024,23,ie IRL,Burnley,eng Premier League,2,20,0.2,0,2,4,0,0,0,0,0,0,0,FWMF,caa1a7f0
499,Wilson Odobert,2023-2024,18,fr FRA,Burnley,eng Premier League,29,2098,23.3,25,4,4,3,2,5,3,0,0,0,MFFW,35516eac
500,Odeluga Offiah,2023-2024,20,eng ENG,Brighton,eng Premier League,4,128,1.4,1,3,4,0,0,0,0,0,0,0,DF,65c3efa2
501,Chiedozie Ogbene,2023-2024,26,ie IRL,Luton Town,eng Premier League,30,1995,22.2,20,10,0,4,1,5,4,0,0,0,MFDF,788c0277
502,Angelo Ogbonna,2023-2024,35,it ITA,West Ham,eng Premier League,11,635,7.1,7,4,27,0,0,0,0,0,0,0,DF,74b2cd7e
503,Habeeb Ogunneye,2023-2024,18,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,7,,,,,,,,DF,d0cdc0a3
504,Temple Ojinnaka,2023-2024,18,it ITA,Wolves,eng Premier League,0,,,0,0,1,,,,,,,,MF,4e93ceb2
505,Wesley Okoduwa,2023-2024,15,eng ENG,Wolves,eng Premier League,0,,,0,0,5,,,,,,,,FW,58469e7c
506,Ademola Ola-Adebomi,2023-2024,19,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,3,,,,,,,,FW,efacf4fd
507,Michael Olakigbe,2023-2024,19,eng ENG,Brentford,eng Premier League,8,59,0.7,0,8,9,0,0,0,0,0,0,0,DFFW,cdd70dc0
508,Michael Olise,2023-2024,21,fr FRA,Crystal Palace,eng Premier League,19,1275,14.2,14,5,0,10,6,16,9,1,1,0,FWMF,c4486bac
509,Robin Olsen,2023-2024,33,se SWE,Aston Villa,eng Premier League,5,405,4.5,4,1,26,0,0,0,0,0,0,0,GK,e7ee38c3
510,Andrew Omobamidele,2023-2024,21,ie IRL,Nott'ham Forest,eng Premier League,11,783,8.7,8,3,8,0,0,0,0,0,0,0,DF,c393a6c4
511,Amadou Onana,2023-2024,21,be BEL,Everton,eng Premier League,30,2091,23.2,23,7,1,2,0,2,2,0,0,0,MF,828657ff
512,André Onana,2023-2024,27,cm CMR,Manchester Utd,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,GK,e9c0c1b2
513,Ryan One,2023-2024,17,sct SCO,Sheffield Utd,eng Premier League,1,8,0.1,0,1,3,0,0,0,0,0,0,0,FW,d4aa4582
514,Tyler Onyango,2023-2024,20,eng ENG,Everton,eng Premier League,1,1,0.0,0,1,4,0,0,0,0,0,0,0,MF,d86a1f3e
515,Fred Onyedinma,2023-2024,26,eng ENG,Luton Town,eng Premier League,8,407,4.5,4,4,1,0,0,0,0,0,0,0,DFMF,387d06b2
516,Frank Onyeka,2023-2024,25,ng NGA,Brentford,eng Premier League,26,1161,12.9,11,15,4,1,2,3,1,0,0,0,MF,2944f86f
517,Lewis Orford,2023-2024,17,eng ENG,West Ham,eng Premier League,0,,,0,0,4,,,,,,,,MF,40aaa04c
518,Divock Origi,2023-2024,28,be BEL,Nott'ham Forest,eng Premier League,20,606,6.7,6,14,7,0,1,1,0,0,0,0,FW,43a166b4
519,Stefan Ortega,2023-2024,30,de GER,Manchester City,eng Premier League,9,635,7.1,5,4,29,0,0,0,0,0,0,0,GK,c1242d4e
520,Ben Osborn,2023-2024,28,eng ENG,Sheffield Utd,eng Premier League,24,1367,15.2,14,10,5,0,2,2,0,0,0,0,DFMF,79bc4c45
521,Gabriel Osho,2023-2024,24,ng NGA,Luton Town,eng Premier League,21,1846,20.5,21,0,1,2,0,2,2,0,0,0,DF,cd889153
522,Detlef Osong,2023-2024,18,eng ENG,Nott'ham Forest,eng Premier League,0,,,0,0,1,,,,,,,,FW,a42bbccc
523,William Osula,2023-2024,19,dk DEN,Sheffield Utd,eng Premier League,21,786,8.7,9,12,9,0,0,0,0,0,0,0,FW,7b355808
524,Dango Ouattara,2023-2024,21,bf BFA,Bournemouth,eng Premier League,30,1229,13.7,12,18,2,1,2,3,1,0,0,0,FWDF,2f9e4435
525,David Ozoh,2023-2024,18,eng ENG,Crystal Palace,eng Premier League,9,156,1.7,0,9,15,0,0,0,0,0,0,0,MFDF,d00d45ab
526,Martin Ødegaard,2023-2024,24,no NOR,Arsenal,eng Premier League,35,3091,34.3,35,0,1,8,10,18,6,2,2,0,MF,79300479
527,João Palhinha,2023-2024,28,pt POR,Fulham,eng Premier League,33,2699,30.0,31,2,0,4,1,5,4,0,0,0,MF,a78ff07f
528,Cole Palmer,2023-2024,21,eng ENG,2 Teams,eng Premier League,34,2618,29.1,29,5,2,22,11,33,13,9,9,0,FWMF,dc7f8a28
529,Emerson Palmieri,2023-2024,28,it ITA,West Ham,eng Premier League,36,3137,34.9,35,1,0,1,2,3,1,0,0,0,DF,e0bc6fdc
530,Lucas Paquetá,2023-2024,25,br BRA,West Ham,eng Premier League,31,2622,29.1,31,0,0,4,6,10,2,2,2,0,FWMF,9b6f7fd5
531,Ben Parkinson,2023-2024,18,eng ENG,Newcastle Utd,eng Premier League,1,25,0.3,0,1,8,0,0,0,0,0,0,0,FW,32163807
532,Thomas Partey,2023-2024,30,gh GHA,Arsenal,eng Premier League,14,788,8.8,9,5,3,0,0,0,0,0,0,0,MFDF,529f49ab
533,Nathan Patterson,2023-2024,21,sct SCO,Everton,eng Premier League,20,1005,11.2,9,11,12,0,2,2,0,0,0,0,DF,230f0471
534,Myles Peart-Harris,2023-2024,20,eng ENG,Brentford,eng Premier League,3,13,0.1,0,3,6,0,0,0,0,0,0,0,DFMF,ea1a5662
535,Sydie Peck,2023-2024,18,eng ENG,Sheffield Utd,eng Premier League,1,10,0.1,0,1,1,0,0,0,0,0,0,0,MF,767d9605
536,Facundo Pellistri,2023-2024,21,uy URU,Manchester Utd,eng Premier League,9,172,1.9,1,8,11,0,1,1,0,0,0,0,FWMF,ac7e7b1c
537,Andreas Pereira,2023-2024,27,br BRA,Fulham,eng Premier League,37,2613,29.0,34,3,1,3,7,10,3,0,0,0,MF,6639e500
538,Ivan Perišić,2023-2024,34,hr CRO,Tottenham,eng Premier League,5,103,1.1,0,5,0,0,1,1,0,0,0,0,FW,6fe90922
539,Máximo Perrone,2023-2024,20,ar ARG,Manchester City,eng Premier League,0,,,0,0,1,,,,,,,,MF,53552942
540,Đorđe Petrović,2023-2024,23,rs SRB,Chelsea,eng Premier League,23,1987,22.1,22,1,12,0,0,0,0,0,0,0,GK,0cf321c8
541,Cameron Peupion,2023-2024,20,au AUS,Brighton,eng Premier League,0,,,0,0,6,,,,,,,,MF,0bdeb013
542,Ashley Phillips,2023-2024,18,wls WAL,Tottenham,eng Premier League,0,,,0,0,7,,,,,,,,DF,4f21d3af
543,Kalvin Phillips,2023-2024,27,eng ENG,2 Teams,eng Premier League,12,402,4.5,3,9,20,0,0,0,0,0,0,0,MF,4f565d77
544,Jaden Philogene Bidace,2023-2024,21,eng ENG,Aston Villa,eng Premier League,1,4,0.0,0,1,0,0,0,0,0,0,0,0,FW,19f4d211
545,Jordan Pickford,2023-2024,29,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,0,0,0,0,0,0,0,GK,4806ec67
546,Axel Piesold,2023-2024,18,eng ENG,Luton Town,eng Premier League,0,,,0,0,9,,,,,,,,MF,68201bf9
547,Ethan Pinnock,2023-2024,30,jm JAM,Brentford,eng Premier League,29,2521,28.0,28,1,0,2,0,2,2,0,0,0,DF,e541326e
548,Marcelo Pitaluga,2023-2024,20,br BRA,Liverpool,eng Premier League,0,,,0,0,1,,,,,,,,GK,b3cafda8
549,Luke Plange,2023-2024,20,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,3,,,,,,,,FW,2140e999
550,Nick Pope,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,15,1345,14.9,15,0,3,0,0,0,0,0,0,0,GK,4b40d9ca
551,Pedro Porro,2023-2024,23,es ESP,Tottenham,eng Premier League,35,3089,34.3,35,0,1,3,7,10,3,0,0,0,DF,27d0a506
552,Dan Potts,2023-2024,29,eng ENG,Luton Town,eng Premier League,0,,,0,0,4,,,,,,,,DF,3595affe
