"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Adrien Truffert",1.8e+07,21,2,97,2145,1,2,"DF"
"Birger Meling",3500000,28,46,97,16,0,0,"DF"
"Mahamadou Nagida",5e+05,18,49,97,106,0,0,"DF"
"Lorenz Assignon",1e+07,23,120,97,1011,1,1,"DF"
"Baptiste Santamaria",1e+07,28,2,97,1926,0,1,"MF"
"Benjamin Bourigeaud",1.8e+07,29,2,97,2425,9,6,"FWMF"
"Enzo Le Fée",1.8e+07,23,2,97,1527,0,1,"MF"
"Djaoui Cissé",1e+05,19,2,97,4,0,0,"MF"
"Lovro Majer",2e+07,25,9,97,16,0,0,"MF"
"Fabian Rieder",8e+06,21,19,97,365,1,0,"MF"
"Désiré Doué",3e+07,18,2,97,1626,4,4,"FWMF"
"Martin Terrier",2e+07,26,2,97,1527,7,3,"FWMF"
"Ibrahim Salah",4e+06,21,12,97,524,4,1,"FWMF"
"Ludovic Blas",1.5e+07,25,2,97,1563,4,1,"FWMF"
"Amine Gouiri",2.5e+07,23,44,97,2067,7,3,"FWMF"
"Arnaud Kalimuendo",2e+07,21,2,97,2139,10,1,"FW"
"Bertuğ Yıldırım",3500000,21,42,97,469,0,1,"FW"
"Mathis Lambourde",5e+05,17,2,97,10,0,0,"FW"
"Christian Mawissa",9e+06,18,2,164,1118,2,0,"DF"
"Rasmus Nicolaisen",6e+06,26,21,164,2925,2,0,"DF"
"Moussa Diarra",2e+06,22,50,164,1397,1,2,"DF"
"Gabriel Suazo",3500000,25,40,164,2357,0,4,"DF"
"Mikkel Desler",3e+06,28,21,164,1544,0,1,"DF"
"Vincent Sierro",4e+06,27,19,164,2261,6,2,"MF"
"Cristian Cásseres Jr.",4e+06,23,54,164,1946,1,3,"MF"
"Niklas Schmidt",3e+06,25,16,164,1269,1,1,"MF"
"Denis Genreau",1500000,24,23,164,464,0,0,"FWMF"
"Naatan Skyttä",4e+05,21,63,164,120,0,0,"FWMF"
"Yann Gboho",4e+06,22,2,164,1193,3,2,"FWMF"
"Ibrahim Cissoko",1500000,20,7,164,241,1,1,"FWMF"
"Zakaria Aboukhlal",1e+07,23,12,164,754,3,0,"FWMF"
"Aron Dønnum",3500000,25,46,164,1595,0,1,"FWMF"
"Shavy Babicka",2e+06,23,83,164,373,1,0,"FWMF"
"Mamady Bangré",8e+05,22,67,164,101,0,1,"FWMF"
"Thijs Dallinga",1.8e+07,22,7,164,2510,14,2,"FW"
"Frank Magri",3e+06,23,49,164,1438,5,2,"FWMF"
"Yanis Begraoui",9e+05,22,12,164,300,0,0,"FWMF"
"Maxime Estève",7e+06,21,2,148,995,1,1,"DF"
"Becir Omeragic",6e+06,21,19,148,2312,0,0,"MFDF"
"Modibo Sagnan",3e+06,24,50,148,1054,2,0,"DF"
"Christopher Jullien",2500000,30,2,148,1233,1,0,"DF"
"Mamadou Sakho",8e+05,33,2,148,7,0,0,"DF"
"Issiaga Sylla",2500000,29,77,148,1455,1,2,"FWDF"
"Lucas Mincarelli",1e+06,19,2,148,978,1,1,"MFDF"
"Théo Sainte-Luce",1e+06,24,2,148,346,0,0,"DF"
"Falaye Sacko",4e+06,28,50,148,1382,0,1,"DF"
"Enzo Tchato",2500000,20,49,148,1125,0,0,"DF"
"Silvan Hefti",2500000,25,19,148,711,0,1,"FWDF"
"Joris Chotard",1e+07,21,2,148,2587,0,3,"MF"
"Khalil Fayad",5e+06,19,2,148,1025,3,0,"FWMF"
"Jordan Ferri",4500000,31,2,148,2031,1,1,"MF"
"Léo Leroy",1e+06,23,2,148,499,0,1,"MF"
"Téji Savanier",9e+06,31,2,148,2765,9,6,"MF"
"Sacha Delaye",3e+05,21,2,148,130,0,0,"FWMF"
"Yann Karamoh",2500000,25,2,148,284,1,0,"FWMF"
"Wahbi Khazri",1800000,32,41,148,1131,1,0,"FW"
"Arnaud Nordin",8e+06,25,2,148,1246,5,3,"FWMF"
"Tanguy Coulibaly",2e+06,22,2,148,623,1,0,"FWMF"
"Axel Gueguin",7e+05,18,2,148,132,0,0,"FWDF"
"Othmane Maamma",3e+05,17,12,148,88,1,0,"FW"
"Akor Adams",1e+07,23,38,148,2252,8,1,"FW"
"Kelvin Yeboah",4e+06,23,10,148,276,0,0,"FW"
"Yanis Issoufou",3e+05,16,2,148,13,0,0,"MF"
"Abakar Sylla",1.2e+07,20,37,237,1792,2,0,"DF"
"Gerzino Nyamsi",4500000,26,2,237,1092,0,0,"DF"
"Lucas Perrin",3e+06,24,2,237,2723,0,1,"DF"
"Steven Baseya",50000,18,2,237,6,0,0,"DF"
"Eduard Sobol",1500000,28,24,237,25,0,0,"DF"
"Thomas Delaine",1e+06,31,2,237,2044,1,1,"MFDF"
"Marvin Senaya",2e+06,22,120,237,2138,1,1,"MFDF"
"Ismaël Doukouré",1e+07,20,2,237,1656,0,0,"MFDF"
"Junior Mwanga",7e+06,20,2,237,1450,1,1,"FWMF"
"Ibrahima Sissoko",6e+06,25,50,237,1642,0,1,"MF"
"Rabby Nzingoula",3e+05,17,113,237,133,0,1,"FWMF"
"Jean-Ricner Bellegarde",1.5e+07,25,2,237,269,2,2,"FWMF"
"Andrey Santos",1.5e+07,19,4,237,831,1,0,"MF"
"Jessy Deminguet",1200000,25,2,237,690,0,0,"FWMF"
"Habib Diarra",1.8e+07,19,18,237,2305,3,1,"FWMF"
"Ângelo",1.5e+07,18,4,237,1094,0,3,"FWMF"
"Dilane Bakwa",1e+07,20,2,237,2177,3,6,"FWMF"
"Emanuel Emegha",1.2e+07,20,7,237,2078,8,1,"FW"
"Lebo Mothiba",1500000,27,59,237,617,3,0,"FW"
"Kévin Gameiro",7e+05,36,2,237,1346,4,2,"FWMF"
"Mohamed Bechikh",150000,18,2,237,14,0,0,"FWMF"
"Eray Cömert",4e+06,25,19,482,1995,2,0,"DF"
"Jean-Charles Castelletto",3500000,28,49,482,2464,2,0,"DF"
"Bastien Meupiyou",8e+05,17,2,482,8,0,0,"DF"
"Nicolas Pallois",6e+05,35,2,482,1589,0,1,"DF"
"Nicolas Cozza",3500000,24,2,482,895,0,0,"DF"
"Jaouen Hadjam",2e+06,20,44,482,112,0,0,"DF"
"Hugo Boutsingkham",2e+05,20,2,482,11,0,0,"FWMF"
"Ronaël Pierre-Gabriel",3500000,25,2,482,598,0,0,"DF"
"Fabien Centonze",3e+06,27,2,482,94,0,0,"DF"
"Kelvin Amian",2500000,25,2,482,798,0,1,"DF"
"Pedro Chirivella",7e+06,26,8,482,2594,1,1,"MF"
"Lamine Diack",1200000,22,18,482,1,0,0,"MF"
"Samuel Moutoussamy",3e+06,26,61,482,1107,1,0,"MF"
"Moussa Sissoko",1200000,33,2,482,1821,0,0,"MF"
