"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Tim Siersleben",1500000,23,16,117,910,0,0,"DF"
"Thomas Keller",350000,23,16,117,2,0,0,"FWMF"
"Jan-Niklas Beste",1.5e+07,24,16,117,2603,8,11,"FWMF"
"Jonas Föhrenbach",2e+06,27,16,117,2788,0,0,"DF"
"Omar Traoré",2500000,25,16,117,2472,0,2,"DF"
"Marnon Busch",1200000,28,16,117,595,0,0,"DF"
"Lennard Maloney",5e+06,23,11,117,2284,1,1,"MF"
"Norman Theuerkauf",3e+05,36,16,117,1259,0,1,"MFDF"
"Jan Schöppner",3e+06,24,16,117,1998,2,2,"MF"
"Kevin Sessa",2500000,23,16,117,1011,3,0,"FWMF"
"Adrian Beck",1500000,26,16,117,974,1,1,"FWMF"
"Denis Thomalla",750000,30,16,117,446,0,0,"FWMF"
"Florian Pick",7e+05,27,16,117,327,0,1,"FWMF"
"Eren Dinkçi",1.2e+07,21,16,117,2650,10,5,"FWMF"
"Nikola Dovedan",8e+05,29,25,117,656,3,1,"FWMF"
"Tim Kleindienst",6e+06,27,16,117,2869,12,3,"FW"
"Marvin Pieringer",3e+06,23,16,117,1513,3,3,"FWMF"
"Stefan Schimmer",5e+05,29,16,117,153,0,1,"FWMF"
"Christian Kühlwetter",5e+05,27,16,117,8,0,1,"MF"
"Marco Friedl",7500000,25,25,101,2197,1,0,"DF"
"Niklas Stark",5500000,28,16,101,1088,2,0,"DF"
"Amos Pieper",4e+06,25,16,101,590,0,0,"DF"
"Julián Malatini",2500000,22,1,101,602,1,0,"DF"
"Anthony Jung",1e+06,31,16,101,2579,1,0,"DF"
"Mitchell Weiser",6e+06,29,16,101,2636,3,7,"MFDF"
"Felix Agu",4e+06,23,16,101,1614,0,0,"MFDF"
"Senne Lynen",7e+06,24,3,101,1797,0,3,"MF"
"Ilia Gruev",5e+06,23,82,101,4,0,0,"MF"
"Skelly Alvero",4e+06,21,2,101,123,1,0,"MF"
"Nicolai Rapp",7e+05,26,16,101,76,0,0,"DF"
"Christian Groß",3e+05,34,16,101,797,0,1,"MFDF"
"Jens Stage",7500000,26,21,101,2327,3,1,"MF"
"Leonardo Bittencourt",2500000,29,16,101,1578,1,2,"MF"
"Naby Keïta",2e+06,28,77,101,109,0,0,"MFDF"
"Olivier Deman",5e+06,23,3,101,1365,2,1,"DF"
"Leon Opitz",6e+05,18,16,101,18,0,0,"FWDF"
"Romano Schmid",1e+07,23,25,101,2601,4,6,"FWMF"
"Isak Hansen-Aarøen",1500000,18,46,101,27,0,0,"MF"
"Justin Njinmah",9e+06,22,16,101,1016,6,2,"FW"
"Oliver Burke",2e+06,26,39,101,32,0,0,"FW"
"Nick Woltemade",4e+06,21,16,101,1189,2,0,"FWMF"
"Marvin Ducksch",9e+06,29,16,101,2696,12,9,"FW"
"Rafael Borré",8e+06,27,12,101,991,4,0,"FW"
"Dawid Kownacki",2e+06,26,26,101,380,0,0,"FW"
"Philipp Lienhart",1.5e+07,27,25,118,1265,1,0,"DF"
"Matthias Ginter",1e+07,29,16,118,1913,0,2,"DF"
"Kenneth Schmidt",2500000,21,16,118,68,0,0,"DF"
"Manuel Gulde",1500000,32,16,118,2047,1,0,"DF"
"Christian Günter",5e+06,30,16,118,1060,1,2,"DF"
"Jordy Makengo",3500000,21,2,118,1026,0,0,"DF"
"Kiliann Sildillia",1.5e+07,21,2,118,1806,0,1,"DF"
"Lukas Kübler",2e+06,30,16,118,1847,1,0,"DF"
"Yannik Keitel",5e+06,23,16,118,920,1,0,"MFDF"
"Nicolas Höfler",2e+06,33,16,118,2330,1,1,"MF"
"Fabian Rüdlin",350000,26,16,118,7,0,0,"MF"
"Maximilian Eggestein",1e+07,26,16,118,2914,1,2,"MF"
"Merlin Röhl",1.2e+07,21,16,118,1477,2,4,"FWMF"
"Vincenzo Grifo",9e+06,30,10,118,2325,8,8,"FWMF"
"Noah Weißhaupt",5e+06,21,16,118,759,1,2,"FWDF"
"Ritsu Doan",1.8e+07,25,17,118,2246,7,2,"MFDF"
"Roland Sallai",1.5e+07,26,27,118,1840,3,2,"FWMF"
"Maximilian Philipp",2e+06,29,16,118,323,1,0,"FWMF"
"Michael Gregoritsch",8e+06,29,25,118,1682,7,4,"FW"
"Lucas Höler",4e+06,29,16,118,2305,7,2,"FWMF"
"Junior Adamu",4e+06,22,25,118,105,0,0,"FWMF"
"Maximilian Breunig",8e+05,22,16,118,9,0,0,"FW"
"Maximilian Bauer",3e+06,23,16,180,810,1,0,"DF"
"Patric Pfeiffer",2e+06,23,16,180,511,0,1,"DF"
"Jeffrey Gouweleeuw",2e+06,32,7,180,2593,1,0,"DF"
"Iago",4e+06,26,4,180,1622,1,1,"DF"
"Mads Pedersen",2500000,26,21,180,1786,1,1,"DF"
"Kevin Mbabu",4e+06,28,19,180,2047,0,2,"DF"
"Robert Gumny",2e+06,25,26,180,481,0,0,"DF"
"Niklas Dorsch",4e+06,25,16,180,1386,0,0,"MF"
"Tim Breithaupt",3e+06,21,16,180,629,0,0,"MF"
"Arne Engels",9e+06,19,3,180,1405,3,2,"MFDF"
"Arne Maier",5e+06,24,16,180,1003,2,4,"MF"
"Fredrik Jensen",3500000,25,63,180,1338,2,4,"FWMF"
"Pep Biel",3e+06,26,8,180,285,0,0,"FWMF"
"Mert Kömür",2e+06,18,16,180,118,1,0,"MFDF"
"Masaya Okugawa",1500000,27,17,180,32,0,0,"FWDF"
"Sven Michel",7e+05,33,16,180,583,2,1,"FWMF"
"Phillip Tietz",5e+06,26,16,180,2382,8,4,"FW"
"Irvin Cardona",2500000,25,2,180,54,0,0,"MFDF"
"Maxence Lacroix",2e+07,23,2,170,2362,4,1,"DF"
"Moritz Jenz",7500000,24,16,170,1742,0,1,"DF"
"Sebastiaan Bornauw",7e+06,24,3,170,1431,0,0,"DF"
"Rogério",5e+06,25,4,170,906,1,0,"DF"
"Nicolas Cozza",3500000,24,2,170,276,0,0,"DF"
"Ridle Baku",7e+06,25,16,170,2013,1,0,"MFDF"
"Kilian Fischer",1500000,22,16,170,291,0,0,"MFDF"
"Kofi Amoako",4e+05,18,16,170,2,0,0,"MF"
"Aster Vranckx",1.2e+07,20,3,170,1153,0,0,"MF"
"Mattias Svanberg",1.2e+07,24,28,170,1715,1,3,"MF"
"Maximilian Arnold",7e+06,29,16,170,2506,2,1,"MF"
"Yannick Gerhardt",4e+06,29,16,170,1630,2,1,"MFDF"
"Kevin Paredes",7500000,20,11,170,1432,3,0,"FWMF"
"Lovro Majer",2e+07,25,9,170,2106,5,5,"FWMF"
"Patrick Wimmer",1.5e+07,22,25,170,589,2,0,"FWMF"
"Jonas Wind",2e+07,24,21,170,2651,11,7,"FW"
"Tiago Tomás",6e+06,21,6,170,1032,1,1,"FWMF"
"Lukas Nmecha",5e+06,24,16,170,42,1,0,"FW"
"Amin Sarr",4e+06,22,28,170,386,0,0,"FWMF"
"Sepp van den Berg",1.2e+07,21,7,74,2839,3,0,"DF"
"Andreas Hanche-Olsen",9e+06,26,46,74,992,1,0,"DF"
"Maxim Leitsch",1500000,25,16,74,379,0,0,"DF"
"Stefan Bell",8e+05,31,16,74,666,0,0,"DF"
"Phillipp Mwene",1800000,29,25,74,1996,1,2,"DF"
"Silvan Widmer",3e+06,30,19,74,1242,1,3,"DF"
"Danny da Costa",1200000,30,16,74,830,0,1,"DF"
"Edimilson Fernandes",3500000,27,19,74,1290,0,2,"DF"
"Dominik Kohr",3e+06,29,16,74,2184,1,0,"MFDF"
"Josuha Guilavogui",7e+05,32,2,74,409,0,1,"DF"
