"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Abdel Abqar",7500000,24,12,124,2312,0,0,"DF"
"Rafa Marín",7500000,21,8,124,2443,0,0,"DF"
"Aleksandar Sedlar",4e+05,31,32,124,946,1,0,"DF"
"Javi López",7500000,21,8,124,2386,1,3,"DF"
"Rubén Duarte",3e+06,27,8,124,1878,2,1,"DF"
"Victor Parada",2e+05,21,8,124,3,0,0,"FWMF"
"Eneko Ortiz",150000,20,8,124,14,0,0,"DF"
"Andoni Gorosabel",5e+06,26,8,124,2854,1,0,"DF"
"Nahuel Tenaglia",2e+06,27,1,124,1141,1,0,"DF"
"Antonio Blanco",7500000,23,8,124,2426,0,1,"MF"
"Ander Guevara",5e+06,26,8,124,2932,1,0,"MF"
"Jon Guridi",4e+06,28,8,124,2678,3,4,"MF"
"Tomás Mendes",2e+05,18,8,124,6,0,0,"MF"
"Ianis Hagi",2e+06,24,47,124,804,0,2,"FWMF"
"Luis Rioja",4e+06,29,8,124,2498,5,4,"FWMF"
"Carlos Vicente",4e+06,24,8,124,1114,2,4,"FW"
"Unai Ropero",5e+05,21,8,124,5,0,0,"MF"
"Giuliano Simeone",3e+06,20,1,124,630,1,2,"FW"
"Mamadou Sylla",1500000,29,18,124,18,0,0,"FWMF"
"Joaquín Panichelli",3e+05,20,1,124,226,0,0,"FWMF"
"Unai Núñez",7e+06,26,8,115,2801,1,0,"DF"
"Carl Starfelt",6e+06,28,28,115,2216,1,0,"DF"
"Joseph Aidoo",4e+06,27,64,115,407,0,0,"DF"
"Yoel Lago",2e+05,19,8,115,90,0,0,"DF"
"Manu Sánchez",8e+06,22,8,115,1775,0,5,"MFDF"
"Óscar Mingueza",8e+06,24,8,115,2998,2,2,"MFDF"
"Javier Manquillo",1800000,29,8,115,744,0,1,"MFDF"
"Kevin Vázquez",8e+05,30,8,115,700,0,0,"DF"
"Renato Tapia",5e+06,28,31,115,1337,0,0,"MFDF"
"Damián Rodríguez",5e+05,20,8,115,258,0,2,"MF"
"Fran Beltrán",6e+06,24,8,115,2428,0,0,"MF"
"Luca de la Torre",3e+06,25,11,115,1956,1,4,"MF"
"Hugo Sotelo",2500000,19,8,115,721,0,1,"MF"
"Carlos Dotor",2e+06,22,8,115,708,0,0,"MF"
"Jonathan Bamba",9e+06,27,37,115,1981,3,2,"FWMF"
"Williot Swedberg",5e+06,19,28,115,439,5,0,"FWMF"
"Hugo Álvarez",1500000,20,8,115,762,1,1,"MFDF"
"Franco Cervi",1500000,29,1,115,546,0,1,"MFDF"
"Tadeo Allende",4e+06,24,1,115,336,1,0,"FWMF"
"Carles Pérez",2500000,25,8,115,772,1,1,"MFDF"
"Miguel Rodríguez",8e+05,20,8,115,300,0,0,"MF"
"Jørgen Strand Larsen",2.5e+07,23,46,115,2863,13,3,"FW"
"Anastasios Douvikas",6e+06,23,51,115,905,7,1,"FW"
"Iago Aspas",3e+06,35,8,115,2707,9,10,"FW"
"Cristhian Mosquera",3e+07,19,8,121,3075,0,0,"DF"
"Yarek Gasiorowski",1.5e+07,18,8,121,735,0,0,"DF"
"Cenk Özkacar",4e+06,22,42,121,1598,0,0,"DF"
"Mouctar Diakhaby",2e+06,26,77,121,1073,1,0,"MFDF"
"César Tárrega",1500000,21,8,121,8,0,0,"DF"
"Thierry Correia",6e+06,24,6,121,2154,0,2,"DF"
"Dimitri Foulquier",2500000,30,2,121,1842,0,0,"MFDF"
"Hugo Guillamón",8e+06,23,8,121,1315,1,0,"MF"
"Selim Amallah",1500000,26,12,121,604,0,1,"FWMF"
"Peter Federico",3e+06,21,150,121,649,0,0,"FWMF"
"Sergi Canós",2500000,26,8,121,1229,1,2,"FWMF"
"Hugo González",3e+05,20,8,121,87,0,1,"FWMF"
"Hugo Duro",1.6e+07,23,8,121,2976,13,2,"FW"
"Roman Yaremchuk",3500000,27,24,121,928,3,0,"FW"
"Alberto Marí",1500000,22,8,121,276,1,1,"FW"
"Mario Dominguez",2e+05,19,8,121,25,0,0,"FW"
"Matteo Gabbia",8e+06,23,10,33,477,0,0,"DF"
"Yerson Mosquera",6e+06,22,12,33,1229,2,1,"DF"
"Jorge Cuenca",6e+06,23,8,33,1963,3,1,"DF"
"Eric Bailly",3e+06,29,37,33,839,0,0,"DF"
"Stefan Lekovic",1800000,19,32,33,29,0,0,"DF"
"Aïssa Mandi",1800000,31,44,33,1113,1,0,"DF"
"Raúl Albiol",1500000,37,8,33,2031,0,1,"DF"
"Alfonso Pedraza",5e+06,27,8,33,1116,1,3,"DF"
"Alberto Moreno",1800000,31,8,33,1484,2,2,"DF"
"Carlos Romero",1500000,21,8,33,262,0,0,"DF"
"Juan Foyth",1.5e+07,25,1,33,1062,1,1,"DF"
"Adrià Altimira",2e+06,22,8,33,775,0,0,"MFDF"
"Kiko Femenía",1400000,32,8,33,1583,0,0,"DF"
"Ramón Terrats",4e+06,22,8,33,785,0,2,"MFDF"
"Étienne Capoue",1500000,35,2,33,1455,1,1,"MF"
"Francis Coquelin",1500000,32,2,33,910,0,0,"MF"
"Santi Comesaña",6e+06,26,8,33,1653,2,0,"MF"
"Manu Trigueros",1500000,31,8,33,309,0,0,"MF"
"Denis Suárez",1500000,29,8,33,133,0,0,"FWMF"
"Gonçalo Guedes",1.5e+07,26,6,33,951,3,2,"FWMF"
"Ilias Akhomach",1.5e+07,19,12,33,1511,2,2,"FWMF"
"Bertrand Traoré",9e+06,27,67,33,568,1,0,"MF"
"Alexander Sørloth",2.5e+07,27,46,33,2489,23,6,"FW"
"Gerard Moreno",1e+07,31,8,33,2215,10,6,"FW"
"José Luis Morales",1500000,36,8,33,1048,7,0,"FWMF"
"Gastón Álvarez",1.5e+07,23,14,192,2537,2,0,"DF"
"Omar Alderete",5e+06,26,58,192,2195,0,1,"DF"
"Djené",2500000,31,120,192,2484,0,0,"MFDF"
"Domingos Duarte",2e+06,28,6,192,907,0,0,"DF"
"Nabil Aberdin",1e+05,20,2,192,180,0,0,"DF"
"Fabrizio Angileri",1e+06,29,1,192,164,0,0,"MFDF"
"Damián Suárez",650000,35,14,192,1299,0,2,"DF"
"Mauro Arambarri",5e+06,27,14,192,339,0,0,"MF"
"Luis Milla",3500000,28,8,192,2115,0,1,"MF"
"Carles Aleñá",3e+06,25,8,192,1020,1,1,"MF"
"Ilaix Moriba",3e+06,20,77,192,605,0,2,"FWMF"
"Jeremy Jorge",2e+05,20,8,192,2,0,0,"FW"
"Yassin Tallal",50000,18,8,192,3,0,0,"FW"
"Mason Greenwood",2.5e+07,21,5,192,2662,8,6,"FWMF"
"Enes Ünal",1.8e+07,26,42,192,140,0,1,"FWMF"
