"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Dwight McNeil",2.2e+07,23,5,77,2892,3,6,"FWMF"
"Arnaut Danjuma",1.3e+07,26,7,77,595,1,0,"FWMF"
"Lewis Dobbin",2500000,20,5,77,232,1,0,"MF"
"Jack Harrison",1.8e+07,26,5,77,2214,3,3,"FWMF"
"Dominic Calvert-Lewin",2.2e+07,26,5,77,2171,7,2,"FW"
"Beto",2e+07,25,115,77,951,3,0,"FW"
"Tosin Adarabioyo",2e+07,25,5,72,1617,2,0,"DF"
"Issa Diop",2e+07,26,2,72,1424,0,0,"DF"
"Calvin Bassey",1.6e+07,23,38,72,2303,1,0,"DF"
"Tim Ream",8e+05,35,11,72,1503,1,0,"DF"
"Antonee Robinson",2.5e+07,25,11,72,3265,0,6,"DF"
"Fodé Ballo-Touré",3e+06,26,18,72,71,0,0,"MFDF"
"Timothy Castagne",1.7e+07,27,3,72,2634,1,3,"DF"
"Kenny Tete",1.5e+07,27,7,72,867,1,0,"DF"
"João Palhinha",5.5e+07,28,6,72,2699,4,1,"MF"
"Harrison Reed",1.5e+07,28,5,72,1325,0,2,"MF"
"Saša Lukić",1e+07,26,32,72,1122,1,0,"MF"
"Tom Cairney",2e+06,32,39,72,1488,1,4,"MF"
"Andreas Pereira",2e+07,27,4,72,2613,3,7,"MF"
"Luke Harris",1e+06,18,29,72,75,0,0,"MF"
"Willian",3e+06,34,4,72,2053,4,2,"FW"
"Harry Wilson",1.7e+07,26,29,72,1620,4,6,"FW"
"Adama Traoré",9e+06,27,8,72,377,2,3,"FWMF"
"Aleksandar Mitrović",2.8e+07,28,32,72,33,0,0,"FW"
"Rodrigo Muniz",2e+07,22,4,72,1593,9,1,"FW"
"Raúl Jiménez",5e+06,32,15,72,1395,7,0,"FW"
"Carlos Vinícius",4e+06,28,4,72,315,2,0,"FW"
"Ibrahima Konaté",4.5e+07,24,2,7,1574,0,0,"DF"
"Virgil van Dijk",3e+07,32,7,7,3177,2,2,"DF"
"Joe Gomez",2.8e+07,26,5,7,1786,0,1,"DF"
"Jarell Quansah",2.2e+07,20,5,7,1190,2,0,"DF"
"Andrew Robertson",3e+07,29,39,7,1693,3,2,"DF"
"Owen Beck",1250000,20,29,7,8,0,0,"DF"
"Trent Alexander-Arnold",7e+07,24,5,7,2155,3,4,"DF"
"Conor Bradley",1.5e+07,20,73,7,753,1,3,"DF"
"Wataru Endo",1.3e+07,30,17,7,1722,1,0,"MF"
"Stefan Bajcetic",1.1e+07,18,8,7,26,0,0,"MF"
"Alexis Mac Allister",7.5e+07,24,1,7,2599,5,5,"MF"
"Curtis Jones",3.5e+07,22,5,7,1167,1,1,"MF"
"Harvey Elliott",3.5e+07,20,5,7,1352,3,6,"FWMF"
"Ryan Gravenberch",3.5e+07,21,7,7,1121,1,0,"MF"
"Thiago Alcántara",1e+07,32,8,7,6,0,0,"MF"
"Bobby Clark",1e+06,18,5,7,89,0,0,"MF"
"James McConnell",5e+05,18,5,7,4,0,0,"MF"
"Dominik Szoboszlai",7.5e+07,22,27,7,2104,3,2,"MF"
"Luis Díaz",7.5e+07,26,12,7,2629,8,5,"FW"
"Cody Gakpo",5e+07,24,7,7,1649,8,5,"FWMF"
"Mohamed Salah",5.5e+07,31,36,7,2534,18,10,"FW"
"Ben Doak",1e+07,17,39,7,14,0,0,"FW"
"Kaide Gordon",1200000,18,5,7,1,0,0,"FW"
"Darwin Núñez",7e+07,24,14,7,2047,11,8,"FW"
"Diogo Jota",5e+07,26,6,7,1145,10,3,"FW"
"Jayden Danns",1e+06,17,5,7,9,0,0,"FW"
"Rúben Dias",8e+07,26,6,1,2559,0,0,"DF"
"Manuel Akanji",4.5e+07,28,19,1,2511,2,0,"MFDF"
"Nathan Aké",4e+07,28,7,1,2042,2,2,"DF"
"John Stones",3.8e+07,29,5,1,1064,1,0,"MFDF"
"Aymeric Laporte",2e+07,29,8,1,12,0,0,"DF"
"Rico Lewis",3.8e+07,18,5,1,809,2,0,"MFDF"
"Kyle Walker",1.3e+07,33,5,1,2767,0,4,"DF"
