"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Ivan Ilić",1.8e+07,22,32,50,2098,3,2,"MF"
"Karol Linetty",3500000,28,26,50,1858,0,0,"MF"
"Gvidas Gineitis",2e+06,19,136,50,538,0,0,"MF"
"Raoul Bellanova",1.5e+07,23,10,50,3046,1,7,"DF"
"Valentino Lazaro",3500000,27,25,50,1994,0,4,"MFDF"
"Nikola Vlašić",1e+07,25,9,50,2608,3,2,"FWMF"
"Simone Verdi",2500000,31,10,50,4,0,0,"FW"
"Nemanja Radonjić",2800000,27,32,50,374,3,0,"FWMF"
"Yann Karamoh",2500000,25,2,50,162,0,0,"FWMF"
"Zanos Savva",1e+06,17,126,50,28,1,0,"MFDF"
"Antonio Sanabria",7e+06,27,58,50,2133,5,0,"FWMF"
"Pietro Pellegri",3e+06,22,10,50,756,1,1,"FW"
"David Okereke",2400000,25,38,50,252,0,0,"FWMF"
"Natan",1.2e+07,22,4,58,952,0,0,"DF"
"Juan Jesus",2500000,32,4,58,2116,1,0,"DF"
"Mathías Olivera",1.5e+07,25,14,58,1569,1,1,"DF"
"Mário Rui",3500000,32,6,58,1205,0,2,"DF"
"Giovanni Di Lorenzo",1.5e+07,29,10,58,3234,1,6,"DF"
"Stanislav Lobotka",2.8e+07,28,45,58,3282,0,1,"MF"
"Jens Cajuste",1e+07,23,28,58,1016,0,2,"MF"
"Leander Dendoncker",7e+06,28,3,58,24,0,0,"MF"
"Diego Demme",8e+05,31,16,58,73,0,0,"MF"
"Piotr Zieliński",2.2e+07,29,26,58,1924,3,2,"MF"
"Khvicha Kvaratskhelia",8e+07,22,74,58,2737,11,6,"FW"
"Jesper Lindstrøm",2.2e+07,23,21,58,430,0,0,"FWMF"
"Matteo Politano",1.3e+07,29,10,58,2360,8,7,"FW"
"Giacomo Raspadori",2.5e+07,23,10,58,1584,5,3,"FWMF"
"Victor Osimhen",1e+08,24,38,58,1982,15,3,"FW"
"Giovanni Simeone",1e+07,28,1,58,800,1,0,"FW"
