"Name","Market.Value","Age","Nation","Team","MP","Min","X90s","Starts","Subs","unSub","Gls","Ast","G.A","G.PK","PK","PKatt","PKm","Pos","X.9999"
"Sergio Gómez","€10.00m","22","Spain","Manchester City","6","53","0.6","0","6","26","0","1","1","0","0","0","0","FWMF","01e5f06e"
"Erling Haaland","€180.00m","23","Norway","Manchester City","31","2552","28.4","29","2","1","27","5","32","20","7","8","1","FW","1f44ac21"
"Lisandro Martínez","€45.00m","25","Argentina","Manchester Utd","11","646","7.2","8","3","0","0","1","1","0","0","0","0","DF","bac46a10"
"Raphaël Varane","€20.00m","30","France","Manchester Utd","22","1375","15.3","16","6","4","1","0","1","1","0","0","0","DF","9f8e9423"
"Harry Maguire","€18.00m","30","England","Manchester Utd","22","1653","18.4","18","4","3","2","2","4","2","0","0","0","DF","d8931174"
"Victor Lindelöf","€15.00m","29","Sweden","Manchester Utd","19","1328","14.8","14","5","2","1","1","2","1","0","0","0","DF","f5deef4c"
"Willy Kambwala","€5.00m","18","France","Manchester Utd","8","330","3.7","3","5","8","0","0","0","0","0","0","0","DF","6a7353d7"
"Jonny Evans","€2.00m","35","Northern Ireland","Manchester Utd","23","1392","15.5","15","8","3","0","1","1","0","0","0","0","DF","f8fcd2a5"
"Luke Shaw","€32.00m","28","England","Manchester Utd","12","959","10.7","12","0","0","0","0","0","0","0","0","0","DF","9c94165b"
"Diogo Dalot","€35.00m","24","Portugal","Manchester Utd","36","3174","35.3","35","1","1","2","3","5","2","0","0","0","DF","d9565625"
"Aaron Wan-Bissaka","€20.00m","25","England","Manchester Utd","22","1780","19.8","20","2","3","0","2","2","0","0","0","0","DF","9e525177"
"Sofyan Amrabat","€22.00m","26","Morocco","Manchester Utd","21","938","10.4","10","11","8","0","0","0","0","0","0","0","MFDF","5a2cb25d"
"Casemiro","€20.00m","31","Brazil","Manchester Utd","25","1982","22.0","24","1","1","1","2","3","1","0","0","0","MFDF","4d224fe8"
"Kobbie Mainoo","€50.00m","18","England","Manchester Utd","24","1924","21.4","24","0","5","3","1","4","3","0","0","0","MF","c6220452"
"Scott McTominay","€32.00m","26","Scotland","Manchester Utd","32","1901","21.1","18","14","2","7","1","8","7","0","0","0","MFFW","d93c2511"
"Christian Eriksen","€8.00m","31","Denmark","Manchester Utd","22","1141","12.7","12","10","11","1","2","3","1","0","0","0","MF","980522ec"
"Donny van de Beek","€5.00m","26","Netherlands","Manchester Utd","1","3","0.0","0","1","11","0","0","0","0","0","0","0","DF","50dc94ce"
"Daniel Gore","€900k","18","England","Manchester Utd","1","1","0.0","0","1","6","0","0","0","0","0","0","0","MF","861e9b3b"
"Bruno Fernandes","€70.00m","28","Portugal","Manchester Utd","35","3118","34.6","35","0","0","10","8","18","6","4","5","1","MFFW","507c7bdf"
"Mason Mount","€35.00m","24","England","Manchester Utd","14","516","5.7","5","9","0","1","0","1","1","0","0","0","MFFW","9674002f"
"Marcus Rashford","€60.00m","25","England","Manchester Utd","33","2271","25.2","26","7","0","7","2","9","5","2","2","0","FW","a1d5bd30"
"Alejandro Garnacho","€45.00m","19","Argentina","Manchester Utd","36","2565","28.5","30","6","2","7","4","11","7","0","0","0","FW","7aa8adfe"
"Jadon Sancho","€30.00m","23","England","Manchester Utd","3","79","0.9","0","3","0","0","0","0","0","0","0","0","FWMF","dbf053da"
"Antony","€25.00m","23","Brazil","Manchester Utd","29","1324","14.7","15","14","4","1","1","2","1","0","0","0","FW","99127249"
